sample_id,interp_age,interp_age_uncert_pos,interp_age_uncert_neg,age_model_type,ann_lam_check,dep_rate_check
456853,80351.7986659265,219.889826631901,400.098150975798,StalAge,not applicable,not applicable
456854,80724.2522846501,209.799045738007,521.9003468226,StalAge,not applicable,not applicable
456855,81056.6572692981,212.712513887498,768.443469035003,StalAge,not applicable,not applicable
456856,81396.9908152849,251.704666054095,918.305015453603,StalAge,not applicable,not applicable
456857,81787.9360671844,256.818499543704,447.350168788806,StalAge,not applicable,not applicable
456858,82056.4284491494,264.225571792806,284.0971015549,StalAge,not applicable,not applicable
456859,82298.3930947214,282.131846835007,347.809938017701,StalAge,not applicable,not applicable
456860,82578.2565271414,296.061190498105,460.7936772057,StalAge,not applicable,not applicable
456861,83052.8751551766,296.833957030598,485.12640576571,StalAge,not applicable,not applicable
456862,83796.1916242447,288.738415041502,382.674139931391,StalAge,not applicable,not applicable
456863,84534.418763665,303.779417287995,185.797247700102,StalAge,not applicable,not applicable
456864,84869.3878186962,285.076598243293,167.796989074108,StalAge,not applicable,not applicable
456865,84869.8518241747,268.003546478198,184.870040839203,StalAge,not applicable,not applicable
456866,84876.2426350278,246.052479923092,206.821107394309,StalAge,not applicable,not applicable
456867,84882.6334458808,291.244817459214,181.342472551798,StalAge,not applicable,not applicable
456868,84982.9918921723,266.863988694007,300.336045121003,StalAge,not applicable,not applicable
456869,85160.1460230933,260.508716033306,489.793468581105,StalAge,not applicable,not applicable
456870,85334.597627883,262.295199066095,617.118370026205,StalAge,not applicable,not applicable
456871,85500.4971515713,266.502303716203,683.237378946695,StalAge,not applicable,not applicable
456872,85661.8672424722,260.992740966089,554.432383578198,StalAge,not applicable,not applicable
456873,85856.1564370421,238.217398309396,394.878615766604,StalAge,not applicable,not applicable
456874,86125.4492010863,207.312263738,291.061546473196,StalAge,not applicable,not applicable
456875,86426.2575186272,204.846439760702,361.318288878494,StalAge,not applicable,not applicable
456876,86629.5208919031,287.316534126789,496.503730486307,StalAge,not applicable,not applicable
456877,86698.5747748149,360.660867232902,654.750698576303,StalAge,not applicable,not applicable
456878,86981.2205986573,304.764567673701,761.117097952796,StalAge,not applicable,not applicable
456879,87899.4096942866,135.656840387994,535.669371526601,StalAge,not applicable,not applicable
456880,89369.8617124618,110.303659905505,328.349848845799,StalAge,not applicable,not applicable
456881,90804.0646238443,615.07674127091,202.209108588198,StalAge,not applicable,not applicable
456882,91336.6652493836,968.690570278399,232.861300578297,StalAge,not applicable,not applicable
456883,91750.4770437841,1326.80246823789,277.131309947203,StalAge,not applicable,not applicable
456884,92166.0399524507,1632.12536708549,311.787664031697,StalAge,not applicable,not applicable
456885,92393.3065455321,1828.98430412619,314.689047427411,StalAge,not applicable,not applicable
456886,92708.1104560611,1898.78274015751,288.767761691008,StalAge,not applicable,not applicable
456887,93065.5930305991,1755.41949235259,262.02972534021,StalAge,not applicable,not applicable
456888,93458.1228146608,1480.44912569699,360.471325889201,StalAge,not applicable,not applicable
456889,93867.9634425452,1345.37671860271,460.510306866199,StalAge,not applicable,not applicable
456890,94277.3785485516,970.472973024298,752.090891114392,StalAge,not applicable,not applicable
456891,94668.6317669792,812.774901536788,909.788962601902,StalAge,not applicable,not applicable
456892,95027.3854871922,720.039251083988,1002.5246130547,StalAge,not applicable,not applicable
456893,95352.8971188142,670.564631505098,1051.99923263359,StalAge,not applicable,not applicable
456894,95647.822826534,655.268523868101,1067.29534027059,StalAge,not applicable,not applicable
456895,95914.8187750403,614.847497769093,1107.7163663696,StalAge,not applicable,not applicable
456896,96156.5411290216,598.789866306193,1100.45249844099,StalAge,not applicable,not applicable
456897,96376.1940268163,597.558492216209,1065.3178036216,StalAge,not applicable,not applicable
456898,96579.1735013611,589.469927432292,1013.58395749341,StalAge,not applicable,not applicable
456899,96771.4235592424,576.078121009006,916.538648939095,StalAge,not applicable,not applicable
456900,96958.8882070465,558.802610918909,657.577717437598,StalAge,not applicable,not applicable
456901,97147.5114513599,535.038768314,534.904361715395,StalAge,not applicable,not applicable
456902,97345.5557463853,478.636887104105,447.550385314898,StalAge,not applicable,not applicable
456903,97570.5573367921,410.324843416995,388.198668958095,StalAge,not applicable,not applicable
456904,97842.370914866,378.179971934296,366.737058521612,StalAge,not applicable,not applicable
456905,98180.8511728928,320.241493158799,324.3483312967,StalAge,not applicable,not applicable
456906,98605.8528031583,323.918939804207,308.085272262993,StalAge,not applicable,not applicable
456907,99119.3817236568,343.5656064879,300.579772472993,StalAge,not applicable,not applicable
456908,99652.0487552162,372.998093142596,296.248731896107,StalAge,not applicable,not applicable
456909,100096.570211276,420.168072993489,294.094380475304,StalAge,not applicable,not applicable
456910,100251.184907922,467.2253325809,294.421084141097,StalAge,not applicable,not applicable
456911,100284.511729903,505.833626538995,295.957349556003,StalAge,not applicable,not applicable
456912,100295.856261997,539.880908719002,300.968216907,StalAge,not applicable,not applicable
456913,100307.200794091,555.760865613003,309.163570145989,StalAge,not applicable,not applicable
456914,100318.545326185,561.430436347,326.948704405004,StalAge,not applicable,not applicable
456915,100807.775158687,554.757597974996,348.864466300991,StalAge,not applicable,not applicable
456916,102374.384941402,537.274127731987,385.840213889009,StalAge,not applicable,not applicable
456918,127026.239713263,846.0,846.0,StalAge,not applicable,not applicable
456919,127497.332917612,846.0,846.0,StalAge,not applicable,not applicable
456920,127968.426121961,846.0,846.0,StalAge,not applicable,not applicable
456921,128439.519326311,846.0,846.0,StalAge,not applicable,not applicable
456922,128910.61253066,846.0,846.0,StalAge,not applicable,not applicable
456923,129381.705735009,846.0,846.0,StalAge,not applicable,not applicable
456924,129852.798939358,845.999999999985,846.0,StalAge,not applicable,not applicable
456925,130323.892143707,846.0,846.0,StalAge,not applicable,not applicable
456926,130794.985348057,846.0,846.0,StalAge,not applicable,not applicable
456927,131266.078552406,846.0,846.0,StalAge,not applicable,not applicable
456928,131737.171756755,846.0,846.0,StalAge,not applicable,not applicable
456929,132208.264961105,846.0,846.0,StalAge,not applicable,not applicable
456930,132679.358165454,846.0,846.0,StalAge,not applicable,not applicable
456931,133150.451369803,846.0,846.0,StalAge,not applicable,not applicable
456932,133621.544574152,846.0,846.0,StalAge,not applicable,not applicable
456933,134092.637778502,846.0,846.0,StalAge,not applicable,not applicable
456934,134563.730982851,846.0,846.0,StalAge,not applicable,not applicable
456935,135034.8241872,846.0,846.0,StalAge,not applicable,not applicable
456936,135056.130004607,846.0,846.0,StalAge,not applicable,not applicable
456937,135220.263011859,846.0,846.0,StalAge,not applicable,not applicable
456938,135384.396019111,846.0,846.0,StalAge,not applicable,not applicable
456939,135548.529026363,846.0,846.0,StalAge,not applicable,not applicable
456940,135712.662033614,846.0,846.0,StalAge,not applicable,not applicable
456941,135876.795040866,846.0,846.0,StalAge,not applicable,not applicable
456942,136040.928048118,846.0,846.0,StalAge,not applicable,not applicable
456943,136205.06105537,846.0,846.0,StalAge,not applicable,not applicable
