sample_id,entity_id,sample_thickness,depth_sample,mineralogy,arag_corr
456839,804,0.9,194.0,calcite,not applicable
456840,804,0.9,205.0,calcite,not applicable
456841,804,0.9,217.0,calcite,not applicable
456842,804,0.9,229.0,calcite,not applicable
456843,804,0.9,241.0,calcite,not applicable
456844,804,0.9,253.0,calcite,not applicable
456845,804,0.9,266.0,calcite,not applicable
456846,804,0.9,278.0,calcite,not applicable
456847,804,0.9,290.0,calcite,not applicable
456848,804,0.9,302.0,calcite,not applicable
456849,804,0.9,314.0,calcite,not applicable
456850,804,0.9,326.0,calcite,not applicable
456851,804,0.9,338.0,calcite,not applicable
456852,804,0.9,350.0,calcite,not applicable
456853,804,0.9,362.0,calcite,not applicable
456854,804,0.9,370.0,calcite,not applicable
456855,804,0.9,382.0,calcite,not applicable
456856,804,0.9,400.0,calcite,not applicable
456857,804,0.9,414.0,calcite,not applicable
456858,804,0.9,422.0,calcite,not applicable
456859,804,0.9,430.0,calcite,not applicable
456860,804,0.9,437.0,calcite,not applicable
456861,804,0.9,446.0,calcite,not applicable
456862,804,0.9,454.0,calcite,not applicable
456863,804,0.9,462.0,calcite,not applicable
456864,804,0.9,470.0,calcite,not applicable
456865,804,0.9,477.0,calcite,not applicable
456866,804,0.9,486.0,calcite,not applicable
456867,804,0.9,494.0,calcite,not applicable
456868,804,0.9,502.0,calcite,not applicable
456869,804,0.9,510.0,calcite,not applicable
456870,804,0.9,516.0,calcite,not applicable
456871,804,0.9,526.0,calcite,not applicable
456872,804,0.9,534.0,calcite,not applicable
456873,804,0.9,542.0,calcite,not applicable
456874,804,0.9,550.0,calcite,not applicable
456875,804,0.9,556.0,calcite,not applicable
456876,804,0.9,566.0,calcite,not applicable
456877,804,0.9,574.0,calcite,not applicable
456878,804,0.9,582.0,calcite,not applicable
456879,804,0.9,590.0,calcite,not applicable
456880,804,0.9,596.0,calcite,not applicable
456881,804,0.9,606.0,calcite,not applicable
456882,804,0.9,610.0,calcite,not applicable
456883,804,0.9,614.0,calcite,not applicable
456884,804,0.9,618.0,calcite,not applicable
456885,804,0.9,622.0,calcite,not applicable
456886,804,0.9,626.0,calcite,not applicable
456887,804,0.9,630.0,calcite,not applicable
456888,804,0.9,634.0,calcite,not applicable
456889,804,0.9,636.0,calcite,not applicable
456890,804,0.9,642.0,calcite,not applicable
456891,804,0.9,646.0,calcite,not applicable
456892,804,0.9,650.0,calcite,not applicable
456893,804,0.9,654.0,calcite,not applicable
456894,804,0.9,656.0,calcite,not applicable
456895,804,0.9,662.0,calcite,not applicable
456896,804,0.9,666.0,calcite,not applicable
456897,804,0.9,670.0,calcite,not applicable
456898,804,0.9,674.0,calcite,not applicable
456899,804,0.9,676.0,calcite,not applicable
456900,804,0.9,682.0,calcite,not applicable
456901,804,0.9,686.0,calcite,not applicable
456902,804,0.9,690.0,calcite,not applicable
456903,804,0.9,694.0,calcite,not applicable
456904,804,0.9,696.0,calcite,not applicable
456905,804,0.9,702.0,calcite,not applicable
456906,804,0.9,706.0,calcite,not applicable
456907,804,0.9,709.0,calcite,not applicable
456908,804,0.9,712.0,calcite,not applicable
456909,804,0.9,716.0,calcite,not applicable
456910,804,0.9,720.0,calcite,not applicable
456911,804,0.9,724.0,calcite,not applicable
456912,804,0.9,729.0,calcite,not applicable
456913,804,0.9,733.0,calcite,not applicable
456914,804,0.9,738.0,calcite,not applicable
456915,804,0.9,742.0,calcite,not applicable
456916,804,0.9,747.0,calcite,not applicable
456917,804,,751.0,,
456918,804,0.9,792.999999999997,calcite,not applicable
456919,804,0.9,794.999999999997,calcite,not applicable
456920,804,0.9,796.999999999997,calcite,not applicable
456921,804,0.9,798.999999999998,calcite,not applicable
456922,804,0.9,800.999999999998,calcite,not applicable
456923,804,0.9,802.999999999998,calcite,not applicable
456924,804,0.9,804.999999999998,calcite,not applicable
456925,804,0.9,806.999999999998,calcite,not applicable
456926,804,0.9,808.999999999998,calcite,not applicable
456927,804,0.9,810.999999999999,calcite,not applicable
456928,804,0.9,812.999999999999,calcite,not applicable
456929,804,0.9,814.999999999999,calcite,not applicable
456930,804,0.9,816.999999999999,calcite,not applicable
456931,804,0.9,818.999999999999,calcite,not applicable
456932,804,0.9,821.0,calcite,not applicable
456933,804,0.9,823.0,calcite,not applicable
456934,804,0.9,825.0,calcite,not applicable
456935,804,0.9,827.0,calcite,not applicable
456936,804,0.9,828.0,calcite,not applicable
456937,804,0.9,829.0,calcite,not applicable
456938,804,0.9,830.0,calcite,not applicable
456939,804,0.9,831.0,calcite,not applicable
456940,804,0.9,832.0,calcite,not applicable
456941,804,0.9,833.0,calcite,not applicable
456942,804,0.9,834.0,calcite,not applicable
456943,804,0.9,835.000000000001,calcite,not applicable
456944,804,0.9,836.000000000001,calcite,not applicable
456945,804,0.9,837.000000000001,calcite,not applicable
456946,804,0.9,838.000000000001,calcite,not applicable
456947,804,0.9,839.000000000001,calcite,not applicable
456948,804,0.9,840.000000000001,calcite,not applicable
456949,805,0.9,28.5,calcite,not applicable
456950,805,0.9,30.0,calcite,not applicable
456951,805,0.9,35.0,calcite,not applicable
456952,805,0.9,40.0,calcite,not applicable
456953,805,0.9,45.0,calcite,not applicable
456954,805,0.9,50.0,calcite,not applicable
456955,805,0.9,55.0,calcite,not applicable
456956,805,0.9,60.0,calcite,not applicable
456957,805,0.9,65.0,calcite,not applicable
456958,805,0.9,70.0,calcite,not applicable
456959,805,0.9,75.0,calcite,not applicable
456960,805,0.9,80.0,calcite,not applicable
456961,805,0.9,85.0,calcite,not applicable
456962,805,0.9,87.0,calcite,not applicable
456963,805,0.9,90.0,calcite,not applicable
456964,805,0.9,92.0,calcite,not applicable
456965,805,0.9,95.0,calcite,not applicable
456966,805,0.9,97.0,calcite,not applicable
456967,805,0.9,100.0,calcite,not applicable
456968,805,0.9,102.0,calcite,not applicable
456969,805,0.9,105.0,calcite,not applicable
456970,805,0.9,107.0,calcite,not applicable
456971,805,0.9,110.0,calcite,not applicable
456972,805,0.9,112.0,calcite,not applicable
456973,805,0.9,115.0,calcite,not applicable
456974,805,0.9,120.0,calcite,not applicable
456975,805,0.9,125.0,calcite,not applicable
456976,805,0.9,130.0,calcite,not applicable
456977,805,0.9,135.0,calcite,not applicable
456978,805,0.9,140.0,calcite,not applicable
456979,805,0.9,145.0,calcite,not applicable
456980,805,0.9,150.0,calcite,not applicable
456981,805,0.9,155.0,calcite,not applicable
456982,805,0.9,160.0,calcite,not applicable
456983,805,0.9,165.0,calcite,not applicable
456984,805,0.9,170.0,calcite,not applicable
456985,805,0.9,172.0,calcite,not applicable
456986,805,0.9,175.0,calcite,not applicable
456987,805,0.9,177.0,calcite,not applicable
456988,805,0.9,182.0,calcite,not applicable
456989,805,0.9,187.0,calcite,not applicable
456990,805,0.9,190.0,calcite,not applicable
456991,805,0.9,192.0,calcite,not applicable
456992,805,0.9,195.0,calcite,not applicable
456993,805,0.9,197.0,calcite,not applicable
456994,805,0.9,200.0,calcite,not applicable
456995,805,0.9,205.0,calcite,not applicable
456996,805,0.9,210.0,calcite,not applicable
456997,805,0.9,215.0,calcite,not applicable
456998,805,0.9,220.0,calcite,not applicable
456999,805,0.9,225.0,calcite,not applicable
457000,805,0.9,230.0,calcite,not applicable
457001,805,0.9,235.0,calcite,not applicable
457002,805,0.9,240.0,calcite,not applicable
457003,805,0.9,245.0,calcite,not applicable
457004,805,0.9,250.0,calcite,not applicable
457005,805,,252.5,,
457006,805,0.9,255.0,calcite,not applicable
457007,805,0.9,260.0,calcite,not applicable
457008,805,0.9,265.0,calcite,not applicable
457009,805,0.9,270.0,calcite,not applicable
457010,805,0.9,275.0,calcite,not applicable
457011,805,0.9,280.0,calcite,not applicable
457012,805,0.9,285.0,calcite,not applicable
457013,805,0.9,290.0,calcite,not applicable
457014,805,0.9,295.0,calcite,not applicable
457015,805,0.9,300.0,calcite,not applicable
457016,805,0.9,305.0,calcite,not applicable
457017,805,0.9,310.0,calcite,not applicable
457018,805,0.9,315.0,calcite,not applicable
457019,805,0.9,320.0,calcite,not applicable
457020,806,0.9,1.0,calcite,not applicable
