sample_id,lin_interp_age,lin_interp_age_uncert_pos,lin_interp_age_uncert_neg,lin_reg_age,lin_reg_age_uncert_pos,lin_reg_age_uncert_neg,Bchron_age,Bchron_age_uncert_pos,Bchron_age_uncert_neg,Bacon_age,Bacon_age_uncert_pos,Bacon_age_uncert_neg,OxCal_age,OxCal_age_uncert_pos,OxCal_age_uncert_neg,copRa_age,copRa_age_uncert_pos,copRa_age_uncert_neg,StalAge_age,StalAge_age_uncert_pos,StalAge_age_uncert_neg
456689,128684.375353028,343.662008699961,357.332811094137,127614.132792993,268.743537786853,273.744167912431,,,,129338.244875,675.803874999998,595.207037500004,,,,128776.979113423,385.888725415381,390.342202245549,128681.33164644,237.351198094344,203.991013158375
456690,128709.254779973,344.601613189385,358.331041616984,127695.989494693,267.668555553391,272.92928907118,,,,129401.43,676.720000000001,595.394,,,,128799.04111134,386.010449786801,392.576368510301,128705.709909022,218.354665431834,200.53677427402
456691,128735.768013025,343.401511330478,357.43610789103,127777.588572223,265.697552855694,272.795446046992,,,,129463.5755,678.675749999995,597.366800000003,,,,128816.485064757,392.060149138633,395.402070496464,128727.463480646,202.276185742478,197.679296751332
456692,128759.690518931,346.131141889768,360.495904386349,127859.225361516,265.812288608184,271.379954963049,,,,129527.149,679.203499999989,595.440600000031,,,,128835.434085743,400.023203028031,394.192019334703,128746.699278509,189.027796764785,195.292805326433
456693,128788.139554355,346.503899123869,364.93613241709,127940.957947324,264.639241523633,269.876607448561,,,,129590.550875,679.902875,597.938875000007,,,,128852.92563025,401.978917833039,398.977109721076,128763.894386189,178.132945697682,193.217107161792
456694,128814.650279658,349.893565926177,368.890169828665,128022.618193108,262.403969904131,269.818353413124,,,,129654.8535,679.701499999996,603.41005000002,,,,128869.933589304,406.849844685989,397.907646998166,128779.525887264,169.115079740208,191.292009419893
456695,128841.825811866,354.167633469042,368.918122872259,128103.69061522,261.97272555322,268.928201833434,,,,129716.90625,681.75,606.4296875,,,,128889.203216011,413.380592289977,404.109325087906,128794.070865311,166.207942273832,189.357319263188
456696,128869.290531222,358.517061893333,378.230437364342,128185.302706191,264.832325263953,268.939053592592,,,,129781.93575,680.821750000017,610.281549999985,,,,128906.016603291,421.010925017676,413.782711012245,128808.006403908,166.756372588003,187.252843854119
456697,128896.059046953,365.050571857471,388.025913320598,128267.911091204,260.631287260971,267.13121629633,,,,129844.636875,682.221875000003,612.663375000004,,,,128920.628160306,429.163484747492,415.677447207927,128821.809586632,168.067100442335,192.488067459548
456698,128921.618507796,372.817407352064,399.574906097871,128350.369041531,258.963000042888,265.659000739091,,,,129906.924,684.036000000007,614.754399999976,,,,128937.128002691,431.473456895939,417.552398065061,128835.957497061,169.66410381232,198.099710460679
456699,128946.631338327,386.533795125972,409.184488497107,128432.947729506,258.04444197331,265.798216911775,,,,129971.66575,683.395499999999,618.855499999991,,,,128951.149284797,438.469097557827,418.020544407002,128850.82160873,171.161393134724,203.787491833369
456700,128969.802865614,394.55378932826,411.658350554731,128514.433969146,256.980229168315,263.496929984627,,,,130034.42875,684.733749999999,621.586250000022,,,,128965.960273878,435.411081152153,419.663281494912,128866.350955011,172.533108691918,209.661930012328
456701,128991.908201839,412.410457570266,419.486118238026,128596.660927731,256.076339667823,263.195507613098,,,,130105.2575,678.209224999999,632.382750000004,,,,128981.82964631,431.743073617938,419.002695209347,128882.388959231,173.843423227561,215.823958045308
456702,129017.892487061,426.49593790037,433.726082079782,128678.362788801,255.415167990141,264.242048590531,,,,130179.29,673.07699999999,644.967449999996,,,,128997.402590866,433.614168708213,417.658880228497,128898.779044721,175.156509485387,222.374508980021
456703,129027.765172978,422.990128598904,422.222185987805,128760.016394637,255.175480874299,263.357705270828,,,,130246.08275,676.372500000012,648.847449999987,,,,129012.009534769,429.894164706566,418.511547307513,128915.36463481,176.536540209097,229.414515864177
456704,129041.722719977,415.38177659543,412.621877158774,128841.726506804,253.718477932809,261.874929038488,,,,130310.30575,679.870525000006,655.403575000004,,,,129024.430748556,427.270881830962,415.240944564212,128931.989152825,178.047688142382,237.044911745514
456705,129056.512928754,405.904669375363,400.067501513098,128923.213114733,254.721303357917,261.468754667396,,,,130375.151875,682.925499999983,657.506750000015,,,,129038.98286334,423.952329419801,412.756766606588,128948.496022097,179.754126028958,245.366629671727
456706,129071.965518427,398.243742179009,397.111869190237,129004.709428898,256.174580123246,262.77009691218,,,,130439.695,693.544800000003,662.024399999995,,,,129053.152396138,421.043902039833,411.576215793553,128964.728665954,181.720026612529,254.480602690557
456707,129084.944258924,392.628144438873,386.057679850754,129087.610883953,254.34987600155,265.142081558544,,,,130502.367875,698.882962500007,663.799437499998,,,,129066.415510699,420.375885313144,408.95071056734,128980.597893121,183.970989408655,264.423102749264
456708,129099.452995333,384.795144932126,381.244489777149,129169.686356704,253.808969569218,266.185096587942,,,,130567.5035,701.333475000007,670.614124999993,,,,129079.414892134,416.651082554366,402.19926514184,128996.284053902,186.378321020253,274.971757393403
456709,129114.398245859,379.888965910999,373.439250529569,129252.007527937,253.199806440563,267.314633351853,,,,130632.283125,704.139987500006,676.032800000015,,,,129092.787345274,410.592211646552,402.976813685164,129012.034883996,188.774754822138,285.839533068036
456710,129128.668067645,374.77033414226,363.075556273136,129333.966528478,252.080361418455,267.281136511825,,,,130696.395,709.157999999981,678.251500000013,,,,129104.830120385,407.47453466701,402.898032466692,129028.098119103,190.993024189098,296.739396218312
456711,129143.27592298,370.582445884444,360.258647014183,129416.238708345,252.208932867725,268.505497988255,,,,130760.721125,713.891425000009,680.974912499994,,,,129116.71149554,403.22664132675,402.212307993934,129044.721494922,192.865862495906,307.384313289265
