sample_id,d13C_measurement,d13C_precision
457221,-6.40705448915191,0.08
457222,-6.92547772232924,0.08
457223,-6.91210963698944,0.08
457224,-6.48818171436318,0.08
457225,-6.64494229751064,0.08
457226,-5.78460044741158,0.08
457227,-5.92305060369618,0.08
457228,-6.32620100766496,0.08
457229,-6.69718187856209,0.08
457230,-6.51209984259566,0.08
457231,-6.64228932642152,0.08
457232,-5.89429011769828,0.08
457233,-5.97676372472812,0.08
457234,-6.0452014012782,0.08
457235,-5.70521511123374,0.08
457236,-5.61424037455663,0.08
457237,-5.91119089020401,0.08
457238,-5.84534062468515,0.08
457239,-5.89394790399046,0.08
457240,-6.0453421191764,0.08
457241,-6.24306213032955,0.08
457242,-6.29619025009804,0.08
457243,-6.09874952565885,0.08
457244,-6.11469029272314,0.08
457245,-6.53559748223435,0.08
457246,-6.42291300894744,0.08
457247,-6.72718192260042,0.08
457248,-5.95271873333972,0.08
457249,-5.79789992597377,0.08
457250,-5.57178817364615,0.08
457251,-5.79754441790275,0.08
457252,-6.25753912631822,0.08
457253,-7.48052788643709,0.08
457254,-6.85744922169649,0.08
457255,-6.14058229569399,0.08
457256,-6.2364099555652,0.08
457257,-6.27558216008645,0.08
457258,-7.80264380334809,0.08
457259,-7.93102312527807,0.08
457260,-8.22927398503841,0.08
457261,-7.83751732793682,0.08
457262,-7.39501230642614,0.08
457263,-7.99865912003521,0.08
457264,-8.1726023792023,0.08
457265,-7.48361956145735,0.08
457266,-7.31136025530533,0.08
457267,-5.96372964803064,0.08
457268,-6.6846585424173,0.08
457269,-7.30470147684717,0.08
457270,-6.29758393501908,0.08
457271,-7.23389903205913,0.08
457272,-7.92906913340135,0.08
457273,-8.08174425726509,0.08
457274,-8.09286016683999,0.08
457275,-8.193138876343,0.08
457276,-8.17137228171079,0.08
457277,-8.182162706023,0.08
457278,-8.3220468904752,0.08
457279,-8.19794207781806,0.08
457280,-7.40953388130197,0.08
457281,-7.39160236664127,0.08
457282,-7.49060012068259,0.08
457283,-7.36473485316972,0.08
457284,-7.42426692685469,0.08
457285,-7.46331473240478,0.08
457286,-7.13778625585087,0.08
457287,-7.02187217354151,0.08
457288,-7.10169009383193,0.08
457289,-6.50269680961044,0.08
457290,-6.74406404437611,0.08
457291,-6.37529284075297,0.08
457292,-5.94707434069257,0.08
457293,-6.48788091081275,0.08
457294,-6.46939000982943,0.08
457295,-6.3526389315894,0.08
457296,-6.60143183189308,0.08
457297,-7.04026327480666,0.08
457298,-6.73414486154852,0.08
457299,-6.5849114709014,0.08
457300,-6.5732909795681,0.08
457301,-7.03445147706666,0.08
457302,-6.98848073581422,0.08
457303,-7.38262438602496,0.08
457304,-7.53621668628999,0.08
457305,-7.60419535883532,0.08
457306,-7.82395622035703,0.08
457307,-7.71835976116433,0.08
457308,-7.81365322775538,0.08
457309,-7.56181693052368,0.08
457310,-6.84542123449706,0.08
457311,-6.74838715747386,0.08
457312,-6.82229704621353,0.08
457313,-7.02142500311708,0.08
457314,-6.88403938020627,0.08
457315,-6.7797519570189,0.08
457316,-6.97085749974723,0.08
457317,-6.82021166023752,0.08
457318,-6.11171766974907,0.08
457319,-6.78597552243086,0.08
457320,-6.90890872162788,0.08
457321,-6.41907025080812,0.08
457322,-6.57141720738724,0.08
457323,-6.20694529312833,0.08
457324,-6.48617186520629,0.08
457325,-6.75177034297718,0.08
457326,-6.67151976720399,0.08
457327,-6.42513117478474,0.08
457328,-6.65535861247845,0.08
457329,-6.56021900218452,0.08
457330,-6.20768559540629,0.08
457331,-5.87731622855134,0.08
457332,-6.21006512503279,0.08
457333,-6.78953871482119,0.08
457334,-7.29772351057484,0.08
457335,-7.62449824525098,0.08
457336,-7.32450615992399,0.08
457337,-6.83039199583377,0.08
457338,-7.15728209628789,0.08
457339,-7.48362236205672,0.08
457340,-7.62833829344802,0.08
457341,-7.86749046251379,0.08
457342,-8.04465505824524,0.08
457343,-8.07563747476428,0.08
457344,-8.06169053130261,0.08
457345,-7.96201748746167,0.08
457346,-8.1986828417582,0.08
457347,-8.29773985790846,0.08
457348,-8.52533708219164,0.08
457349,-8.29799850866311,0.08
457350,-7.86470946730828,0.08
457351,-7.65508083751784,0.08
457352,-7.7617254139415,0.08
457353,-7.76872992342085,0.08
457354,-7.80486369009271,0.08
457355,-7.82208571939969,0.08
457356,-8.31482223821774,0.08
457357,-8.26727852454506,0.08
457358,-8.2246546068746,0.08
457359,-8.26712297721548,0.08
457360,-8.24221912524536,0.08
457361,-8.03997049348525,0.08
457362,-8.35731644109079,0.08
457363,-8.20036019669655,0.08
457364,-8.38404436740961,0.08
457365,-8.32594352198598,0.08
457366,-8.12013001723658,0.08
457367,-8.05760626181386,0.08
457368,-7.93911794656939,0.08
457369,-7.97831237835364,0.08
457370,-7.88503295443848,0.08
457371,-7.95371900777802,0.08
457372,-8.11518374262466,0.08
457373,-7.96610379439217,0.08
457374,-7.75640861094511,0.08
457375,-7.7220960718886,0.08
457376,-7.71845321000512,0.08
457377,-7.7492085927247,0.08
457378,-7.8262522039643,0.08
457379,-7.3720554206455,0.08
