sample_id,d18O_measurement,d18O_precision
456922,-4.09926886792453,0.08
456923,-3.9185141509434,0.08
456924,-3.93313679245283,0.08
456925,-4.06775943396226,0.08
456926,-3.7423820754717,0.08
456927,-3.68700471698113,0.08
456928,-3.68162735849057,0.08
456929,-4.74625,0.08
456930,-5.25087264150943,0.08
456931,-4.51549528301887,0.08
456932,-4.69125,0.08
456933,-3.72125,0.08
456934,-3.91125,0.08
456935,-2.73125,0.08
456936,-2.60055555555556,0.08
456937,-2.57722222222222,0.08
456938,-2.68055555555556,0.08
456939,-2.80388888888889,0.08
456940,-2.66722222222222,0.08
456941,-2.78722222222222,0.08
456942,-2.68055555555556,0.08
456943,-2.59388888888889,0.08
456944,-3.37055555555556,0.08
456945,-2.77722222222222,0.08
456946,-2.45388888888889,0.08
456947,-2.57722222222222,0.08
456948,-2.70388888888889,0.08
456949,-2.78758333333333,0.05
456950,-3.23158333333333,0.05
456951,-3.16058333333333,0.05
456952,-3.38958333333333,0.05
456953,-3.31158333333333,0.05
456954,-3.59658333333333,0.05
456955,-3.94658333333333,0.05
456956,-3.91258333333333,0.05
456957,-3.79358333333333,0.05
456958,-3.62058333333333,0.05
456959,-3.36258333333333,0.05
456960,-3.60958333333333,0.05
456961,-3.11858333333333,0.05
456962,-2.89619047619048,0.1
456963,-3.16158333333333,0.05
456964,-3.22619047619048,0.1
456965,-3.31258333333333,0.05
456966,-3.25285714285714,0.1
456967,-3.42658333333333,0.05
456968,-3.03952380952381,0.1
456969,-3.47858333333333,0.05
456970,-3.09619047619048,0.1
456971,-3.28358333333333,0.05
456972,-3.23285714285714,0.1
456973,-3.38758333333333,0.05
456974,-3.60758333333333,0.05
456975,-3.79258333333333,0.05
456976,-3.65958333333333,0.05
456977,-3.92358333333333,0.05
456978,-3.88158333333333,0.05
456979,-3.59058333333333,0.05
456980,-3.54258333333333,0.05
456981,-3.41758333333333,0.05
456982,-3.82058333333333,0.05
456983,-4.00358333333333,0.05
456984,-3.88758333333333,0.05
456985,-4.11952380952381,0.1
456986,-3.99058333333333,0.05
456987,-4.04285714285714,0.1
456988,-3.78952380952381,0.1
456989,-4.27285714285714,0.1
456990,-4.17658333333333,0.05
456991,-4.10952380952381,0.1
456992,-4.19858333333333,0.05
456993,-3.67952380952381,0.1
456994,-3.86216666666667,0.05
456995,-3.85316666666667,0.05
456996,-3.73916666666667,0.05
456997,-4.18416666666667,0.05
456998,-4.07016666666667,0.05
456999,-3.77416666666667,0.05
457000,-4.04416666666667,0.05
457001,-4.31216666666667,0.05
457002,-4.36516666666667,0.05
457003,-4.23316666666667,0.05
457004,-3.75116666666667,0.05
457006,-3.96827329192547,0.05
457007,-2.88614285714286,0.05
457008,-3.01157763975155,0.05
457009,-4.20701242236025,0.05
457010,-3.85844720496894,0.05
457011,-4.00588198757764,0.05
457012,-2.93231677018634,0.05
457013,-2.82575155279503,0.05
457014,-3.50718633540373,0.05
457015,-3.89705590062112,0.05
457016,-3.94449068322981,0.05
457017,-3.76592546583851,0.05
457018,-4.1113602484472,0.05
457019,-4.2047950310559,0.05
457020,-4.95383896877076,0.08
457021,-4.84745317928379,0.08
457022,-4.47485560501768,0.08
457023,-4.53200406231945,0.08
457024,-4.79350576267856,0.08
457025,-4.73031269208361,0.08
457026,-4.69649666404904,0.08
457027,-4.48688407241607,0.08
457028,-4.44618973964833,0.08
457029,-4.43989293368423,0.08
457030,-4.63996654954149,0.08
457031,-4.86427105558314,0.08
457032,-4.85507768492742,0.08
457033,-4.70709449699886,0.08
457034,-4.81598092849927,0.08
457035,-4.99619559075977,0.08
457036,-4.60546078648692,0.08
457037,-4.89065753857115,0.08
457038,-4.62233962569363,0.08
457039,-4.7795492088706,0.08
457040,-4.76866613979199,0.08
457041,-5.03980277492961,0.08
457042,-4.8428865306539,0.08
457043,-4.76030532306129,0.08
457044,-4.98983601089268,0.08
457045,-4.88253682594561,0.08
457046,-4.98469750393543,0.08
457047,-4.90376644312845,0.08
457048,-4.89861976246629,0.08
457049,-4.91340066204091,0.08
457050,-4.78735595079525,0.08
457051,-4.70075601421708,0.08
457052,-4.79447162640746,0.08
457053,-4.95557968575243,0.08
457054,-4.85548320404061,0.08
457055,-4.67665074627856,0.08
457056,-4.84729148534089,0.08
457057,-4.83184914528672,0.08
457058,-4.61116722489037,0.08
457059,-4.49170193118114,0.08
457060,-4.62875661841516,0.08
457061,-4.57079464326416,0.08
457062,-4.41654774715514,0.08
457063,-4.63510911890509,0.08
457064,-4.34584507091653,0.08
457065,-4.5475148956231,0.08
457066,-4.30738230324644,0.08
457067,-4.38317894409453,0.08
457068,-4.48405534694134,0.08
457069,-4.46346151740568,0.08
457070,-4.53688933970014,0.08
457071,-4.42686159332434,0.08
457072,-4.58683582675629,0.08
457073,-4.33356661366588,0.08
457074,-4.56147076564283,0.08
457075,-4.37375748946254,0.08
457076,-4.47239873038122,0.08
457077,-4.35147563296243,0.08
457078,-4.31718559077181,0.08
457079,-4.69802178562789,0.08
457080,-4.44141419292602,0.08
457081,-4.51960977097948,0.08
457082,-4.41939749419932,0.08
457083,-4.04116340077318,0.08
457084,-4.59514997728301,0.08
457085,-4.39477494385634,0.08
457086,-4.39014969116651,0.08
457087,-4.39608815583077,0.08
457088,-4.20323877588016,0.08
457089,-4.13782931784441,0.08
457090,-4.10927360951729,0.08
457091,-4.26816669044293,0.08
457092,-4.4518591585464,0.08
457093,-4.38077236085938,0.08
457094,-4.52509241223874,0.08
457095,-4.79193856325743,0.08
457096,-4.52990934477485,0.08
457097,-4.6926752379602,0.08
457098,-4.71422916492569,0.08
457099,-4.58632105134861,0.08
457100,-4.70953427374901,0.08
457101,-4.76114732006401,0.08
457102,-4.70752802130962,0.08
457103,-4.64285549586975,0.08
457104,-4.62558723738653,0.08
457105,-4.59446881001401,0.08
457106,-4.79239065291375,0.08
457107,-4.49010499267792,0.08
457108,-4.59395262030639,0.08
457109,-4.69556231479769,0.08
457110,-4.81909826073982,0.08
457111,-4.80066422222496,0.08
457112,-5.00670259400086,0.08
457113,-4.99961482276091,0.08
457114,-4.97993673994489,0.08
457115,-4.76578112160095,0.08
457116,-4.39859721337584,0.08
457117,-4.72228925470612,0.08
457118,-4.61033923253606,0.08
457119,-4.40162495631686,0.08
457120,-4.31753538199766,0.08
457121,-4.4221796591432,0.08
457122,-4.52284718507535,0.08
457123,-4.68085796604288,0.08
457124,-4.57613102820816,0.08
457125,-4.48149347465181,0.08
457126,-4.74791249168357,0.08
457127,-4.64652374625784,0.08
457128,-4.67253197547535,0.08
457129,-4.5479029008081,0.08
457130,-4.69494034585658,0.08
457131,-4.6631261000606,0.08
457132,-4.58611786327185,0.08
457133,-4.54603773377562,0.08
457134,-4.76355973564307,0.08
457135,-4.71264580807831,0.08
457136,-4.98360733073805,0.08
457137,-4.94129044234094,0.08
457138,-4.80463367026193,0.08
457139,-4.47247682470778,0.08
457140,-4.66136239254108,0.08
457141,-4.67624909767081,0.08
457142,-4.8801514896456,0.08
457143,-4.73049616993674,0.08
457144,-4.76643703905276,0.08
457145,-4.89040204496995,0.08
457146,-4.91364822763901,0.08
457147,-4.78993128614836,0.08
457148,-4.91977517951426,0.08
457149,-4.91213718165406,0.08
457150,-4.82238409102452,0.08
457151,-4.79719763659885,0.08
457152,-4.87117931317064,0.08
457153,-4.82813547606196,0.08
457154,-4.8111158033416,0.08
457155,-4.97815845425686,0.08
457156,-5.03162901285335,0.08
457157,-5.12345003523536,0.08
457158,-4.94410030369853,0.08
457159,-5.13659068806874,0.08
457160,-4.91721133194526,0.08
457161,-4.91967373410716,0.08
457162,-4.92359494595513,0.08
457163,-4.8763824349252,0.08
457164,-4.5826110797105,0.08
457165,-5.05003427317152,0.08
457166,-4.79876138766591,0.08
457167,-4.68309026652094,0.08
457168,-4.82316403506753,0.08
457169,-4.75105485333318,0.08
457170,-4.78703171611227,0.08
457171,-4.83764434115284,0.08
457172,-4.8215500116783,0.08
457173,-4.79997859875177,0.08
457174,-4.65517726007914,0.08
457175,-4.63535491938095,0.08
457176,-4.53642920783678,0.08
457177,-4.53384833758495,0.08
457178,-4.62951894228145,0.08
457179,-4.72630691617437,0.08
457180,-4.85166928802922,0.08
457181,-4.76919562628919,0.08
457182,-4.87124878199333,0.08
457183,-4.8673801625258,0.08
457184,-4.6577523385514,0.08
457185,-4.82830316303434,0.08
457186,-4.77667187859967,0.08
457187,-4.65182307726389,0.08
457188,-4.91669149589363,0.08
457189,-4.76825865824537,0.08
457190,-4.94301092150768,0.08
457191,-4.99421627392228,0.08
457192,-4.96683178423486,0.08
457193,-5.11375914620621,0.08
457194,-5.10562454198804,0.08
457195,-4.85520304856852,0.08
457196,-4.97217159114282,0.08
457197,-4.94835134505457,0.08
457198,-4.82870905471421,0.08
457199,-4.96925809985153,0.08
457200,-4.88035023267294,0.08
457201,-4.78960545501064,0.08
457202,-4.95864951239633,0.08
457203,-5.09235213079453,0.08
457204,-4.69049678832279,0.08
457205,-4.77964757785218,0.08
457206,-4.99415692794111,0.08
457207,-4.85235235757099,0.08
457208,-4.6893517337819,0.08
457209,-4.77326861305942,0.08
457210,-4.98145534301768,0.08
457211,-4.60567083514937,0.08
457212,-4.45400052536464,0.08
457213,-4.37793483397399,0.08
457214,-4.66844660132716,0.08
457215,-4.88684716859994,0.08
457216,-4.59889462477894,0.08
457217,-4.9185004636799,0.08
457218,-4.81305050263358,0.08
457219,-4.90240696919012,0.08
457220,-4.89887991521345,0.08
457221,-4.48484683362626,0.08
457222,-4.64177174459961,0.08
457223,-4.47190491731881,0.08
457224,-4.54955117583277,0.08
457225,-4.54491335262346,0.08
457226,-4.46455817351645,0.08
457227,-4.66757477737594,0.08
457228,-4.75140187445368,0.08
457229,-4.74856597124899,0.08
457230,-4.88618634730041,0.08
457231,-5.05078633383112,0.08
457232,-4.87554408144684,0.08
457233,-4.98004946537252,0.08
457234,-5.05716096148582,0.08
457235,-4.94482088064592,0.08
457236,-4.74318473255088,0.08
457237,-4.73372212797037,0.08
457238,-4.89157685412613,0.08
457239,-4.86343144427747,0.08
457240,-5.06797244396008,0.08
457241,-4.90967450582521,0.08
457242,-4.97979861201862,0.08
457243,-4.9118209796658,0.08
457244,-4.86249302748743,0.08
457245,-5.30107310060485,0.08
457246,-5.16444070570059,0.08
457247,-5.17839209124452,0.08
457248,-5.01317666875438,0.08
457249,-4.98276590056362,0.08
457250,-4.83302676865029,0.08
457251,-4.87113649399477,0.08
457252,-4.74362489907361,0.08
457253,-5.04512778885366,0.08
457254,-5.03393863484703,0.08
457255,-4.88374706176828,0.08
457256,-4.85730292900076,0.08
457257,-4.74285398040325,0.08
457258,-5.13625125921398,0.08
457259,-5.17494397218213,0.08
457260,-5.34611259536197,0.08
457261,-5.09682038971189,0.08
457262,-5.05740176015029,0.08
457263,-5.0521777527085,0.08
457264,-5.07078208479025,0.08
457265,-4.67028455621251,0.08
457266,-4.66650876549439,0.08
457267,-4.09634013200067,0.08
457268,-4.41671716542974,0.08
457269,-4.90038460139652,0.08
457270,-4.60236349914824,0.08
457271,-4.52498662680976,0.08
457272,-4.78556913154932,0.08
457273,-4.90923731060783,0.08
457274,-5.02261139154285,0.08
457275,-5.10557417154058,0.08
457276,-5.25789927467538,0.08
457277,-5.17712860108901,0.08
457278,-5.50615867855567,0.08
457279,-5.55404874579814,0.08
457280,-5.19897285043857,0.08
457281,-5.10538854754569,0.08
457282,-5.20687439957737,0.08
